,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
3039,Ringtone Remixes - Marimba Remix Ringtones,Catalogs,13437952,213,3.5,7.160443692018895e-05,0.7,0.42002864177476806,0.0,0.0,0.0,0.18901288879864564,42,5
3040,Philips Hue,Lifestyle,73561088,1999,1.5,0.0006720059596406466,0.3,0.18026880238385626,0.005828515113610851,0.3,0.18233140604544434,0.1814032343977297,11,2
3041,Celebtwin: Celebrity Looks Like Lite,Lifestyle,81773568,1111,1.5,0.0003734860536071828,0.3,0.18014939442144287,0.0032393598255235894,0.3,0.18129574393020942,0.1807798866512645,36,5
3042,TestNav,Education,4448256,491,1.5,0.0001650599930883229,0.3,0.1800660239972353,0.0030178056680659616,0.3,0.18120712226722638,0.18069362804573041,7,1
3043,VyStar Mobile Banking for iPhone,Finance,27553792,434,1.5,0.0001458982423632019,0.3,0.18005835929694528,0.0018605049942127148,0.3,0.18074420199768507,0.18043557278235217,32,5
3044,Simulator Run Real Hologram,Games,60719104,903,1.5,0.0003035624720137588,0.3,0.18012142498880548,0.0004237834996632728,0.3,0.1801695133998653,0.18014787361488838,27,4
3045,Black Box - Black Movie List,Entertainment,24799232,136,1.5,4.571926488800797e-05,0.3,0.1800182877059552,0.0004403517633497818,0.3,0.1801761407053399,0.18010510685561681,28,5
3046,Polaroid Print App - ZIP,Photo & Video,85582848,631,1.5,0.00021212394223774287,0.3,0.18008484957689508,0.00029191906948599115,0.3,0.18011676762779438,0.1801024045048897,24,4
3047,VyStar Mobile Banking for iPad,Finance,68358144,57,1.5,1.916175072512099e-05,0.3,0.18000766470029003,0.0002443520384104257,0.3,0.18009774081536417,0.18005720656358082,30,5
3048,Fake-A-Location Free ™,Social Networking,7689537,354,1.5,0.00011900455713496193,0.3,0.18004760182285398,0.00011900455713496193,0.3,0.18004760182285398,0.180047601822854,22,3
3049,"CATCHY Photos-Easter Bunny, Tooth Fairy and more..",Photo & Video,81744896,228,1.5,7.664700290048396e-05,0.3,0.18003065880116018,0.00010547947360191121,0.3,0.18004219178944075,0.1800370019447145,50,7
3050,Helper for Pokemon Go,Utilities,8382464,42,1.5,1.4119184744825991e-05,0.3,0.18000564767389793,8.760220256966461e-05,0.3,0.18003504088102787,0.1800218139378194,21,4
3051,US Presidential Election 2016 - Polls,News,41600000,28,1.5,9.412789829883993e-06,0.3,0.18000376511593194,7.908308808161374e-05,0.3,0.18003163323523264,0.18001909258154733,37,5
3052,Suica,Finance,24804352,10,1.5,3.3617106535299978e-06,0.3,0.1800013446842614,4.2868778668495734e-05,0.3,0.18001714751146738,0.1800100362392247,5,1
